id,match_id,minute,type,description,player_id,player_name,team_side
78,26,"74",goal,"Johan Manzambi 进球",,"Johan Manzambi",home
79,26,"90",goal,"Johan Manzambi 进球",,"Johan Manzambi",home
80,26,"84",goal,"Rubén Vargas 进球",,"Rubén Vargas",home
81,26,"90+7",goal,"Granit Xhaka 点球破门",,"Granit Xhaka",home
82,26,"90+3",goal,"Ermin Mahmic 进球",,"Ermin Mahmic",away
83,27,"16",goal,"Cyle Larin 进球",,"Cyle Larin",home
84,27,"29",goal,"Jonathan David 进球",,"Jonathan David",home
85,27,"45+3",goal,"Jonathan David 进球",,"Jonathan David",home
86,27,"64",goal,"Nathan Saliba 进球",,"Nathan Saliba",home
87,27,"75",goal,"Mohamed Manai 进球",,"Mohamed Manai",home
88,27,"90+2",goal,"Jonathan David 进球",,"Jonathan David",home
89,28,"50",goal,"Luis Romo 进球",,"Luis Romo",home
90,29,"11",goal,"Cameron Burgess 进球",,"Cameron Burgess",home
91,29,"43",goal,"Alex Freeman 进球",,"Alex Freeman",home
92,30,"2",goal,"Ismael Saibari 进球",,"Ismael Saibari",away
93,31,"2",goal,"Matías Galarza 进球",,"Matías Galarza",away
94,32,"23",goal,"Matheus Cunha 进球",,"Matheus Cunha",home
95,32,"36",goal,"Matheus Cunha 进球",,"Matheus Cunha",home
96,32,"45+3",goal,"Vinícius Júnior 进球",,"Vinícius Júnior",home
97,33,"5",goal,"Brian Brobbey 进球",,"Brian Brobbey",home
98,33,"17",goal,"Brian Brobbey 进球",,"Brian Brobbey",home
99,33,"47",goal,"Cody Gakpo 进球",,"Cody Gakpo",home
100,33,"54",goal,"Cody Gakpo 进球",,"Cody Gakpo",home
101,33,"89",goal,"Crysencio Summerville 进球",,"Crysencio Summerville",home
102,33,"59",goal,"Anthony Elanga 进球",,"Anthony Elanga",away
103,34,"68",goal,"Deniz Undav 进球",,"Deniz Undav",home
104,34,"90+4",goal,"Deniz Undav 进球",,"Deniz Undav",home
105,34,"30",goal,"Franck Kessié 进球",,"Franck Kessié",away
106,36,"4",goal,"Daichi Kamada 进球",,"Daichi Kamada",away
107,36,"31",goal,"Ayase Ueda 进球",,"Ayase Ueda",away
108,36,"83",goal,"Ayase Ueda 进球",,"Ayase Ueda",away
109,36,"69",goal,"Junya Ito 进球",,"Junya Ito",away
110,37,"10",goal,"Lamine Yamal 进球",,"Lamine Yamal",home
111,37,"21",goal,"Mikel Oyarzabal 进球",,"Mikel Oyarzabal",home
112,37,"24",goal,"Mikel Oyarzabal 进球",,"Mikel Oyarzabal",home
113,37,"49",goal,"Hassan Al-Tambakti 进球",,"Hassan Al-Tambakti",home
114,39,"44",goal,"Maxi Araújo 进球",,"Maxi Araújo",home
115,39,"45+6",goal,"Agustín Cano 进球",,"Agustín Cano",home
116,39,"21",goal,"Kevin Pina 进球",,"Kevin Pina",away
117,39,"61",goal,"Hélio Varela 进球",,"Hélio Varela",away
118,40,"15",goal,"Finn Surman 进球",,"Finn Surman",home
119,40,"58",goal,"Mostafa Zico 进球",,"Mostafa Zico",away
120,40,"67",goal,"Mohamed Salah 进球",,"Mohamed Salah",away
121,40,"82",goal,"Trézéguet 进球",,"Trézéguet",away
122,41,"38",goal,"Lionel Messi 进球",,"Lionel Messi",home
123,41,"90+5",goal,"Lionel Messi 进球",,"Lionel Messi",home
124,42,"14",goal,"Kylian Mbappé 进球",,"Kylian Mbappé",home
125,42,"54",goal,"Kylian Mbappé 进球",,"Kylian Mbappé",home
126,42,"66",goal,"Ousmane Dembélé 进球",,"Ousmane Dembélé",home
127,43,"43",goal,"Marcus Holmgren Pedersen 进球",,"Marcus Holmgren Pedersen",home
128,43,"48",goal,"Erling Haaland 进球",,"Erling Haaland",home
129,43,"58",goal,"Erling Haaland 进球",,"Erling Haaland",home
130,43,"53",goal,"Ismaïla Sarr 进球",,"Ismaïla Sarr",away
